dataset,source,augmentation_type,augmentation_rate,trial,local_homophily_group,num_nodes_in_group,retained_same_class_edges,retained_cross_class_edges,dropped_same_class_edges,dropped_cross_class_edges,same_class_edge_retention_rate,cross_class_edge_retention_rate,neighbor_label_distribution_js_divergence,neighbor_label_distribution_js_divergence_std,neighbor_label_distribution_l1_distance,local_homophily_change,positive_pair_cosine_similarity,positive_pair_rank,positive_pair_similarity_drop,low_reliability_positive_ratio,positive_nodes_evaluated,embedding_source,labels_posthoc_only
Cora,pyg,edge_drop,0.1,3,low_homophily,223,3868,911,407,92,0.90479532,0.90827517,0.020536023,0.069939675,0.084226159,0.0018176873,1,1.2647059,-0.92566425,0,223,raw_feature_proxy,True
Cora,pyg,edge_drop,0.1,3,medium_homophily,321,3868,911,407,92,0.90479532,0.90827517,0.043291925,0.09862111,0.17470459,-0.010860129,1,1.3670886,-0.91967285,0,321,raw_feature_proxy,True
Cora,pyg,edge_drop,0.1,3,high_homophily,2164,3868,911,407,92,0.90479532,0.90827517,0.014302262,0.078144743,0.038699144,-2.8540107e-05,1,1.309479,-0.92132627,0,2164,raw_feature_proxy,True
Cora,pyg,edge_drop,0.1,3,all,2708,3868,911,407,92,0.90479532,0.90827517,0.01825197,0.080763931,0.058569998,-0.0011833133,1,1.3125,-0.9214875,0,2708,raw_feature_proxy,True
Cora,pyg,edge_drop,0.2,3,low_homophily,223,3399,801,876,202,0.79508772,0.79860419,0.083928749,0.15862725,0.24494194,-0.0033443439,1,1.2647059,-0.92566425,0,223,raw_feature_proxy,True
Cora,pyg,edge_drop,0.2,3,medium_homophily,321,3399,801,876,202,0.79508772,0.79860419,0.06703273,0.11721169,0.25988111,-0.011412663,1,1.3670886,-0.91967285,0,321,raw_feature_proxy,True
Cora,pyg,edge_drop,0.2,3,high_homophily,2164,3399,801,876,202,0.79508772,0.79860419,0.033561722,0.11619204,0.087624258,0.0018408582,1,1.309479,-0.92132627,0,2164,raw_feature_proxy,True
Cora,pyg,edge_drop,0.2,3,all,2708,3399,801,876,202,0.79508772,0.79860419,0.041676951,0.12151131,0.12099807,-0.00019905536,1,1.3125,-0.9214875,0,2708,raw_feature_proxy,True
Cora,pyg,edge_drop,0.4,3,low_homophily,223,2537,589,1738,414,0.59345029,0.58723829,0.15035456,0.1951155,0.41204802,-0.0072176145,1,1.2647059,-0.92566425,0,223,raw_feature_proxy,True
Cora,pyg,edge_drop,0.4,3,medium_homophily,321,2537,589,1738,414,0.59345029,0.58723829,0.17681092,0.18053413,0.55412137,-0.020418923,1,1.3670886,-0.91967285,0,321,raw_feature_proxy,True
Cora,pyg,edge_drop,0.4,3,high_homophily,2164,2537,589,1738,414,0.59345029,0.58723829,0.081176713,0.17451289,0.19612946,-0.0025986173,1,1.309479,-0.92132627,0,2164,raw_feature_proxy,True
Cora,pyg,edge_drop,0.4,3,all,2708,2537,589,1738,414,0.59345029,0.58723829,0.098209667,0.18034236,0.25634558,-0.0051239776,1,1.3125,-0.9214875,0,2708,raw_feature_proxy,True
Cora,pyg,edge_drop,0.6,3,low_homophily,223,1740,382,2535,621,0.40701754,0.38085743,0.26512407,0.21981778,0.65912813,0.019163968,1,1.2647059,-0.92566425,0,223,raw_feature_proxy,True
Cora,pyg,edge_drop,0.6,3,medium_homophily,321,1740,382,2535,621,0.40701754,0.38085743,0.26697856,0.17925251,0.767511,-0.0005787614,1,1.3670886,-0.91967285,0,321,raw_feature_proxy,True
Cora,pyg,edge_drop,0.6,3,high_homophily,2164,1740,382,2535,621,0.40701754,0.38085743,0.15376055,0.21965352,0.34453486,0.0087544039,1,1.309479,-0.92132627,0,2164,raw_feature_proxy,True
Cora,pyg,edge_drop,0.6,3,all,2708,1740,382,2535,621,0.40701754,0.38085743,0.17635177,0.21993999,0.42057978,0.0083236766,1,1.3125,-0.9214875,0,2708,raw_feature_proxy,True
Cora,pyg,edge_drop,0.8,3,low_homophily,223,871,206,3404,797,0.20374269,0.20538385,0.34804375,0.21010371,0.78925734,0.012891306,1,1.2647059,-0.92566425,0,223,raw_feature_proxy,True
Cora,pyg,edge_drop,0.8,3,medium_homophily,321,871,206,3404,797,0.20374269,0.20538385,0.37213686,0.16575985,0.92116867,-0.020782524,1,1.3670886,-0.91967285,0,321,raw_feature_proxy,True
Cora,pyg,edge_drop,0.8,3,high_homophily,2164,871,206,3404,797,0.20374269,0.20538385,0.2687016,0.24187949,0.56876338,-0.00043903454,1,1.309479,-0.92132627,0,2164,raw_feature_proxy,True
Cora,pyg,edge_drop,0.8,3,all,2708,871,206,3404,797,0.20374269,0.20538385,0.28749629,0.23468748,0.62869405,-0.0020313064,1,1.3125,-0.9214875,0,2708,raw_feature_proxy,True
Cora,pyg,edge_drop,0.1,4,low_homophily,223,3860,898,415,105,0.90292398,0.89531406,0.030015804,0.087838209,0.10904474,-0.0027569973,1,1.3018868,-0.92566425,0,223,raw_feature_proxy,True
Cora,pyg,edge_drop,0.1,4,medium_homophily,321,3860,898,415,105,0.90292398,0.89531406,0.045401167,0.099548571,0.18223009,0.0041921323,1,1.3714286,-0.91967285,0,321,raw_feature_proxy,True
Cora,pyg,edge_drop,0.1,4,high_homophily,2164,3860,898,415,105,0.90292398,0.89531406,0.015653248,0.080974413,0.043255111,-0.00030697074,1,1.3189223,-0.92132627,0,2164,raw_feature_proxy,True
Cora,pyg,edge_drop,0.1,4,all,2708,3860,898,415,105,0.90292398,0.89531406,0.020362233,0.084554407,0.065146564,3.4100688e-05,1,1.324,-0.9214875,0,2708,raw_feature_proxy,True
Cora,pyg,edge_drop,0.2,4,low_homophily,223,3381,814,894,189,0.79087719,0.8115653,0.050063997,0.12937392,0.15852224,0.009189352,1,1.3018868,-0.92566425,0,223,raw_feature_proxy,True
Cora,pyg,edge_drop,0.2,4,medium_homophily,321,3381,814,894,189,0.79087719,0.8115653,0.080011107,0.13353187,0.29492766,-0.0052712485,1,1.3714286,-0.91967285,0,321,raw_feature_proxy,True
Cora,pyg,edge_drop,0.2,4,high_homophily,2164,3381,814,894,189,0.79087719,0.8115653,0.029847453,0.11005985,0.081498662,-0.0016857545,1,1.3189223,-0.92132627,0,2164,raw_feature_proxy,True
Cora,pyg,edge_drop,0.2,4,all,2708,3381,814,894,189,0.79087719,0.8115653,0.03745854,0.11595582,0.11314082,-0.0012353421,1,1.324,-0.9214875,0,2708,raw_feature_proxy,True
Cora,pyg,edge_drop,0.4,4,low_homophily,223,2591,594,1684,409,0.60608187,0.59222333,0.13971095,0.19646368,0.38111375,0.0088463558,1,1.3018868,-0.92566425,0,223,raw_feature_proxy,True
Cora,pyg,edge_drop,0.4,4,medium_homophily,321,2591,594,1684,409,0.60608187,0.59222333,0.16605452,0.16739152,0.54740435,0.018603589,1,1.3714286,-0.91967285,0,321,raw_feature_proxy,True
Cora,pyg,edge_drop,0.4,4,high_homophily,2164,2591,594,1684,409,0.60608187,0.59222333,0.072443805,0.16495919,0.1777481,0.0013373675,1,1.3189223,-0.92132627,0,2164,raw_feature_proxy,True
